Avg. Area Income,Avg. Area House Age,Avg. Area Number of Rooms,Avg. Area Number of Bedrooms,Area Population,Price,Address
56547.507,5.435,6.515,3.13,37585.275,858685.5659,"85225 Christopher Inlet Apt. 627
West Calebberg, KS 76460"
65950.347,5.477,6.718,3.28,40110.848,1200961.821,"7125 Mullins Cliff
Maryborough, WY 66971"
74533.162,6.679,5.919,4,49481.566,1520234.229,"905 Lane Pines Suite 348
Brownborough, DE 57196-3319"
66422.919,7.122,7.079,6.36,31019.325,1360908.32,"61090 Griffith Ridges
Craigstad, AK 28807-8602"
74334.495,5.419,6.262,4.12,41640.436,1360920.53,"270 Jennifer Loop Suite 343
South Jesse, ND 60570-1483"
63538.346,4.764,7.169,3.27,43282.183,1146532.455,"10973 Clark Trafficway
Meyersbury, LA 63237"
83953.105,7.385,6.899,3.08,37283.358,1789098.521,"91733 Baker Orchard
South Kyle, KS 37301"
57279.064,5.118,6.562,3.17,44023.791,852099.464,"024 William Course
East Charlotteview, DE 69073-3104"
56553.55,5.691,7.021,3.15,29682.41,746096.7289,"PSC 4455, Box 3268
APO AP 45454"
75795.576,5.787,7.327,6.25,33197.778,1534479.907,"562 Brown Junction Suite 282
Christopherborough, KS 20719"
70848.789,5.282,6.766,3.27,40458.736,1215608.531,"USCGC Thompson
FPO AA 13237-3887"
59787.405,5.653,6.595,3.43,32402.108,941594.3284,"65884 Johns Valley Apt. 621
Ethanbury, NY 07783"
64826.372,4.011,8.29,4.38,60286.043,1204598.037,"Unit 2139 Box 3667
DPO AP 49517"
65925.854,7.606,7.07,3.28,34171.36,1597655.258,"253 Golden Island
East Donald, CT 91882"
64419.253,6.954,8.516,6.16,39318.171,1492011.496,"4861 Steven Plains Suite 066
Port Reginaland, MN 06152-7205"
58544.46,8.563,7.276,4.28,30865.587,1421216.504,"5255 Rebecca Junctions Suite 240
Royshire, WI 85782-2398"
68791.792,4.726,6.704,4.11,48423.322,1132522.901,"2833 Townsend Cliffs
New Tommy, MP 86130-3426"
82061.565,4.183,5.963,4.1,36271.408,1102821.438,"708 Pena Ramp
Terryburgh, CA 31572-1304"
80659.525,5.436,7.101,6.24,52947.036,1856211.35,"8030 Ruiz Dale
Shermanchester, KY 56950-5684"
66668.094,6.185,7.863,3.35,47075.212,1687998.933,"Unit 3857 Box 9497
DPO AE 92239"
64721.565,5.678,6.971,4.48,36115.816,1063423.007,"042 Mitchell Mountains
Adamsview, OR 44424"
65199.99,6.446,6.937,3.2,28366.035,1177289.886,"07420 Victoria Trail Apt. 904
Port Kevinbury, OR 86759"
74579.99,4.64,5.521,3.07,42806.147,1173474.379,"38449 Shaw Glen
Pattonside, TX 98415"
76273.67,7.88,4.5,3.39,46974.579,1637259.999,"82387 Hensley Bypass
Danielmouth, ME 30791"
67561.942,5.251,7.659,4.04,35517.542,1238938.291,"02304 Brandon Stravenue Apt. 231
Cordovabury, ID 36688"
48904.983,4.845,5.449,3.38,32960.753,201898.0866,"2124 Garcia Viaduct
North Kellytown, DC 30864"
72145.967,6.399,8.259,6.06,28882.901,1439506.102,"646 Nicholas Mall Apt. 058
East Danielle, OR 53708"
70805.611,4.444,5.809,3.3,29268.827,585608.6326,"874 Laura Throughway Suite 350
Port Michaelberg, PW 94284-9448"
65383.338,7.513,6.64,3.46,35114.402,1294685.159,"7373 Hart Brooks Apt. 168
East Christianside, PR 72679-9159"
95450.293,6.595,6.85,3.33,39388.516,2014851.344,"035 Mark Bridge
West Craig, MT 78649"
73698.696,6.373,6.578,4.33,51815.096,1840236.006,"69600 Wilson Rue
Elizabethland, PW 17767-2884"
66263.911,6.375,6.737,4.41,49829.952,1441421.913,"001 Steve Plaza
Jessicastad, UT 25190"
75394.76,6.933,7.834,4.48,22268.075,1498640.551,"238 Anthony Drive
Acostahaven, AS 62753-6637"
65984.751,6.512,6.316,2.38,21867.477,954746.5764,"01818 Wilson Spurs
West Andreaton, SD 69568-7005"
66477.263,6.982,6.038,2.37,32458.987,1124635.932,"95779 Walton Square
Bakershire, PR 49599"
69284.26,5.347,7.173,3.45,40282.724,1169944.248,"124 Russell Mountains Apt. 591
North Sharonfurt, OH 67836-4969"
70404.496,5.544,6.001,2.02,37127.926,1114430.953,"73080 Veronica Turnpike Suite 991
New Debra, VA 61246"
74218.489,8.07,6.506,4.37,46770.661,1783534.839,"106 Williams Well Apt. 657
Samanthaview, PR 87811"
63441.715,6.472,7.065,3.22,48061.753,1302933.248,"Unit 3405 Box 4348
DPO AP 68816-2990"
57493.925,6.893,6.734,4.41,47039.215,1241483.612,"4007 Kimberly Crossing
Nathanielview, NC 72093-8287"
81543.777,5.504,5.897,2.14,9816.301,954114.544,"Unit 5889 Box 7282
DPO AE 41177-0399"
78633.974,5.465,7.531,3.24,43728.803,1555320.5,"075 Andrea Green Suite 201
Johnshire, KS 50389"
52202.854,4.869,4.414,2.23,42165.812,404976.3659,"6811 Spears Trail Suite 081
East Troy, MS 43910"
67980.389,5.563,6.16,2.44,25909.079,1073183.76,"69401 Danielle Motorway
New Dennis, IL 53971"
78568.449,5.476,6.292,2.29,41016.647,1422195.879,"2276 Riley Flats Suite 975
Johnmouth, NH 39983"
55472.655,4.822,5.856,3.2,15353.956,340605.2113,"91111 Crane Spur
Kathleenmouth, ME 43022-3191"
67579.235,5.973,7.754,6.32,21762.95,1170959.526,"744 Hill Ports
Mooreside, MH 20945-2825"
61456.151,6.883,6.418,4.19,30821.412,942838.1647,"019 Lisa Village Apt. 379
Maxwellmouth, DE 26176"
60815.39,7.17,7.984,4.11,31233.649,1401613.92,"50933 Barber Divide Suite 927
Jacksonborough, NE 46696-1788"
51217.181,5.385,8.776,3.41,47089.475,1175504.486,"USS Harrington
FPO AE 12326"
63027.675,4.856,5.581,2.3,35991.721,608794.2467,"246 Michele Lock Suite 093
South Michellemouth, VI 62800"
62484.855,6.497,7.323,5.13,26882.652,946943.0362,"356 Madeline Locks Apt. 115
Kaitlinland, MS 49150-0243"
73923.466,7.006,7.135,6.04,58745.312,1819900.637,"232 Allen Ridge
West Jasonview, CT 93021"
79737.61,7.316,6.611,2.17,28307.314,1463130.273,"5042 Ricky Road
New Candice, MN 40661-8809"
63890.472,4.972,7.916,5.49,43416.498,1252391.18,"60860 Griffin Streets Apt. 040
East Catherine, NH 18346"
67310.037,7.194,7.761,5.28,43310.612,1714445.175,"89002 Robert Square Suite 028
Port Jennyside, CA 38546-6307"
73145.73,4.097,7.254,3.18,49463.379,1291759.393,"8533 Sparks Lodge
New Kevin, GA 98179"
86924.359,6.833,7.738,6.32,28719.411,1809154.289,"922 Mark Lodge
Matthewton, ID 71131-3139"
74384.106,7.411,5.165,2.3,17117.444,1200539.361,"757 Sherri Shores Suite 744
Jesusfurt, OK 73052-4985"
67477.788,6.624,7.916,5.1,29763.925,1300265.21,"PSC 8479, Box 0952
APO AA 33741"
71202.957,4.319,6.635,4.37,34207.397,997448.7281,"5560 Michaela Spur Suite 730
West Charlottefurt, PA 00463"
85845.318,6.744,9.469,3.46,46477.679,2152959.409,"255 Sosa Pines Suite 751
Wilsonview, MT 31615"
72138.87,7.164,8.486,5.45,35799.638,1629983.847,"156 Conner Lane
East Brittany, MI 26733"
44806.005,4.495,4.725,3.1,57390.89,497579.4466,"478 Vasquez Fort Apt. 346
Aliciaside, NV 37124-6408"
67504.178,5.33,5.894,4.36,37441.121,890112.5493,"67610 Smith Knolls
Brendaberg, MA 55188-7972"
74706.101,5.003,5.661,2.05,39680.609,1064685.699,"504 Robertson Streets
Jamesshire, WA 56754"
68898.346,6.788,7.871,6.39,39515.572,1530124.016,"777 Ross Crossroad
Kaiserville, RI 24445"
58118.018,8.137,5.651,4.36,35598.39,1246246.828,"2418 Samantha Green Apt. 016
Port Keithmouth, VT 62207-0408"
77643.283,6.07,5.381,4.45,35512.255,1240754.932,"95957 Tara Hill Suite 428
Huntland, KS 57002-5552"
67769.826,8.075,6.762,4.22,33254.603,1760734.69,"26906 Simmons Underpass Suite 444
Port Tinashire, DC 13101"
74411.06,5.535,7.21,6.44,43537.503,1393746.76,"4930 James Flats
New Shannon, NJ 75829-8040"
73101.079,4.104,8.92,4.35,29497.971,1172385.898,"78212 Turner Ville Apt. 217
West Lauraberg, MP 47353-3682"
58708.417,5.084,6.263,4.07,15969.926,483986.109,"33410 Smith Summit
West Kimberlyberg, CT 49785-3758"
63876.06,7.08,7.187,3.37,38052.876,1388530.157,"49940 Ramirez Mission Suite 136
West Bryan, MD 95291-3904"
68343.154,6.392,8.425,6.2,40653.87,1721739.384,"4746 Morgan Forge
Diaztown, VT 79978"
73064.98,5.994,7.204,6.19,30699.34,1276448.792,"5808 Burton Viaduct
North Nicholasport, CO 32392-1208"
67367.268,6.775,6.691,2.49,32547.273,1161742.677,"8093 Lara Overpass Apt. 364
Lake Brookebury, NV 30264"
66547.182,6.351,5.305,2.04,16741.965,786407.9451,"249 Susan Canyon
North Jessica, ID 13412"
73313.545,6.415,8.493,4.46,37808.997,1604920.973,"08091 Bush Course
New Michael, RI 47524-7511"
47681.362,6.891,7.788,5.13,50908.979,1230149.137,"PSC 6933, Box 3805
APO AP 50576"
67910.949,6.446,6.676,4.32,31379.783,1051644.554,"6798 Smith Junctions
Wolfeton, WY 86565-5079"
69277.891,6.143,7.812,5.15,43717.913,1415073.614,"256 Sanchez Ports Apt. 057
Johnmouth, PA 69763"
67946.715,5.403,5.671,3.21,35197.943,1043483.915,"68672 Guzman Ridge
Clinefurt, WI 04078-6179"
90975.113,4.741,8.32,6.45,44426.214,1544379.748,"4447 Steven River Suite 076
West Karenmouth, DC 61561-8593"
61885.546,5.405,6.914,3.22,48726.951,1352135.967,"USCGC Hess
FPO AE 29193"
69401.847,7.042,8.097,3.44,29293.074,1505727.431,"0617 Neal Curve
South Daniel, AS 09326"
72969.121,6.189,8.077,4.2,31755.721,1416965.979,"412 Janet Radial Suite 115
Kariview, NY 37073-8343"
75582.46,5.506,6.775,4.33,31946.304,1046721.976,"9155 Kayla Station Suite 233
Natalieborough, SC 99093-8399"
56241.227,5.623,6.819,2.18,32745.368,939040.0036,"3062 Donald Inlet Suite 642
West Matthew, GU 49340"
79412.835,6.087,7.481,3.26,17568.734,1383031.332,"764 Timothy Turnpike
North Audreymouth, TX 02395"
79618.237,4.566,6.67,3.49,29636.507,1072503.238,"862 Ryan Flat
West Larryborough, WV 11517"
67019.074,6.488,7.331,6.26,24997.109,1134397.758,"378 Evans Crest
East Shelbystad, HI 23326"
56063.481,5.107,5.385,4.14,39129.297,734827.508,"09897 Katherine Forge
North Johnside, NC 01211"
57077.58,5.775,6.952,4.27,33393.917,991892.3175,"2367 Noah Center
North Dakotashire, PA 99619-0890"
75954.818,4.29,7.419,5.04,34467.759,1057252.583,"19678 Noble Cove Suite 264
South Elizabethfort, CO 13304-1647"
52575.815,7.134,7.174,4.06,41828.58,1237224.859,"8803 Jackson Ramp
South Thomasland, RI 09631-6361"
63312.806,6.139,8.2,4.41,43230.352,1442632.541,"87629 Shawn Crossing
North William, MN 71601-6188"
82526.962,6.453,7.748,4.46,43947.68,1877402.32,"2574 Shannon Alley
South Fred, OR 64217"
73204.942,6.641,7.312,6.4,35090.501,1394518.415,"676 Jose Locks Apt. 415
South Cynthia, SC 89264"
56357.193,5.708,5.24,3.25,38061.998,953939.3299,"4160 Martinez Bridge Apt. 713
West Ann, MI 89447-0160"
71316.625,7.108,7.089,5.33,21651.699,1219778.034,"26847 Weber Ports Apt. 767
North Robinton, FM 43014"
75046.848,4.983,8.877,3,32468.031,1287325.382,"PSC 8891, Box 6475
APO AP 28726-5123"
84474.16,6.971,5.936,2.47,38677.815,1739893.555,"623 Jackson Road Apt. 492
Sarahville, NM 19973"
68162.684,6.962,6.697,3.07,31843.876,1213382.223,"0575 Edward Cliff
Miguelmouth, NY 06408"
62784.333,7.572,4.653,3.31,35122.389,1007478.748,"6660 Alex Park
Barkerfort, WY 52781"
67009.816,6.85,7.611,3.22,39737.123,1528756.126,"176 Parker Grove Apt. 591
Nicoleshire, MO 83183-5326"
67437.25,6.767,6.704,2.05,29356.223,1182459.772,"203 Amy Ford Suite 158
Kelleyfurt, LA 49990-9626"
65967.769,6.848,7.777,3.14,35799.963,1474546.762,"842 Jackson Parkway
Angelabury, MI 68188-8699"
42816.306,7.604,7.045,4.18,47457.662,1078016.94,"5339 Charles Road Apt. 570
East Angelicastad, PR 36295-7649"
83347.67,5.468,5.475,3.14,48226.719,1453381.624,"0647 Ramirez Hill
New Crystalport, AZ 33060"
81699.88,5.48,6.476,4.41,39527.049,1495012.965,"4233 Chase Fields
East Vanessabury, OR 85375-7861"
56143.789,4.58,6.669,4.04,45084.037,714148.4148,"0606 Ricardo Drive
Williamton, GU 79243"
59513.835,4.885,5.575,3.18,44162.279,894292.0474,"14157 Jones Parkway Suite 319
North Haley, AK 18534"
78379.412,5.986,5.682,3.2,31357.388,1159841.831,"2579 Pamela Shoals
North Christianhaven, TX 95259"
70877.376,6.767,7.214,5.07,36033.427,1195986.299,"PSC 5171, Box 6452
APO AA 44610-4655"
61526.974,6.594,9.18,6.11,27307.948,1381430.63,"23682 William Glens Apt. 920
Lake Hollystad, CO 20067"
65316.996,7.415,6.733,2,55799.497,1534889.853,"32521 Martinez Highway
Stephaniehaven, NY 78577"
76268.818,6.943,6.148,3.17,38649.852,1494125.33,"9109 Omar View Suite 461
East Sarahfort, WI 02969"
48531.364,6.863,8.517,5.3,39731.151,1356146.261,"5611 Chandler Mill
East Brianfort, AK 51236-0093"
82906.655,5.901,5.767,4.26,38820.482,1454943.074,"PSC 5599, Box 5942
APO AP 55563-1953"
63117.844,4.94,5.637,2.31,43091.845,774118.1878,"2128 Shawna Orchard Suite 992
New Melissabury, MN 22338"
75860.861,3.691,4.788,3.48,41003.88,889113.2389,"019 Moore Center Apt. 643
West John, KY 54923"
68844.764,4.86,6.917,3.29,48392.497,1211102.211,"Unit 3192 Box 6415
DPO AP 76779-7624"
52446.267,5.695,7.43,3.11,32934.553,658646.1847,"20185 Mary Crest
South Reneeville, VI 91892"
69342.707,5.805,7.806,3.36,37082.374,1400104.871,"18067 Williams Roads Suite 683
South Christineton, CO 76227"
55932.053,7.218,6.02,4,42488.31,1262017.792,"089 Wilson Forks Suite 185
East Gina, PA 98785-6132"
53306.922,4.632,6.195,2.15,39063.339,553077.2126,"9643 Oscar Valley
North Richardstad, ME 14629-9980"
56976.546,6.061,7.259,3.08,46375.502,1203247.89,"46619 Morgan Squares
Stevenfurt, FM 70548"
51296.489,6.155,7.832,6.18,32078.907,1115323.015,"407 Silva Inlet Apt. 301
East Carolmouth, SC 73414"
63995.005,7.598,7.09,5.25,24748.268,1301881.417,"USCGC Friedman
FPO AE 57606-0743"
71915.147,6.28,5.521,4.47,27714.294,1006687.387,"038 Anderson Club Suite 485
Richardsonfort, MA 22267"
62137.597,5.441,7.235,5.21,19045.62,749383.0726,"014 Shaun Gardens
Lake Todd, HI 08110"
78050.97,5.234,6.29,4.15,27789.749,1075596.587,"2606 Stout Inlet
Port Brenda, SC 59596-5906"
67371.421,5.334,6.625,4.37,24797.765,739870.7936,"94952 Hall Cliffs Suite 366
West Jessica, MT 23902"
59362.766,7.483,8.003,3.49,44723.354,1442945.145,"8581 Johnson Ranch Apt. 905
Jacquelinefurt, MH 08716-8228"
57003.11,7.011,6.356,3.14,29594.693,828497.0671,"089 Jessica Dale
West Melissa, PW 59364"
68989.312,6.075,7.88,6.37,32629.604,1373290.861,"USNS Hamilton
FPO AA 90003"
70969.902,4.902,6.396,3.18,24833.646,925566.3313,"8016 Hicks Alley Apt. 735
Nicoleside, WV 73615-4795"
82251.653,7.741,7.637,6.49,18408.799,1552536.764,"04952 Michael Terrace Apt. 414
Port Tammy, GA 56924-1868"
71306.457,5.774,6.688,2.04,43284.397,1335904.501,"3890 Hunt Trail
Davidhaven, OR 04793"
70921.569,5.665,6.375,3.28,29390.217,960808.2911,"8398 Sanchez Gateway Suite 937
Mccoyburgh, PA 32814"
70739.46,6.711,7.167,6.28,35148.668,1405933.019,"67095 Jeffrey Islands Suite 573
West Elizabeth, MI 33061-9433"
58097.842,6.386,6.144,3.04,19903,619087.6936,"31995 Moore Brook
New Melissa, MO 19787"
51273.509,7.032,6.888,2.09,53811.895,1329273.228,"Unit 5683 Box 5483
DPO AA 78774-2982"
76326.592,5.025,4.936,3.44,42779.831,1261843.844,"77194 Carlson Causeway Apt. 904
West John, KY 70976"
63584.046,5.833,6.029,4.29,46340.189,1175781.418,"73601 Donaldson Squares
Port John, VI 73473"
86340.287,4.93,6.183,3.01,35630.56,1437053.557,"6864 Michelle Field Apt. 339
Madisonmouth, KY 99033"
79471.239,5.867,8.197,6.21,36616.169,1594415.226,"35165 Haley Falls Suite 341
South Elizabeth, VT 29143-4442"
55879.504,6.408,5.37,2.07,37360.064,931357.9954,"54993 James Place Suite 797
South Kenneth, CA 86457-1211"
40503.541,6.882,6.566,3.14,45979.478,798639.6542,"6799 Downs Plaza
Randallberg, NH 17910-5241"
83394.408,5.601,5.905,2.08,30487.525,1451739.625,"79098 Brandon Island Suite 624
Horneshire, MA 35281-8110"
64501.226,6.002,7.293,5.33,43869.31,1278991.689,"8173 Rush Wells
New Stephanie, MS 56356"
59569.537,6.28,7.325,4.24,31294.652,885920.5532,"762 Corey Landing Suite 528
Billymouth, AZ 48958"
69280.316,6.862,6.924,4.33,40290.911,1425632.542,"077 Laura Curve
New Christopherview, AZ 15138"
66342.49,5.857,6.949,3.06,11792.815,901881.7427,"5342 Dean Overpass
Matthewville, MI 08613"
73367.046,6.173,9.055,5.25,23684.788,1521730.791,"469 William Shore Suite 726
South Krystalchester, MP 47720"
57122.225,5.708,5.93,2.4,41972.772,716771.0057,"566 Brown Grove Apt. 886
Cardenasmouth, IN 87042-1285"
61978.848,7.912,8.438,5.37,56957.188,1696717.107,"017 Bowers Field
Williamsstad, OK 15934-8122"
54299.969,6.636,6.852,2.49,39512.664,819598.0078,"05946 Wong Spur
Susanshire, NY 67746-2473"
71424.406,5.599,8.523,3.49,37242.562,1584213.957,"9297 Cole Highway
Patrickhaven, DC 02945-8988"
57353.154,8.075,5.679,4.44,16906.422,798892.515,"88404 William Cape Apt. 249
Dawsonhaven, MA 21219-3496"
44731.11,4.189,8.943,5.12,39633.473,601973.0017,"4896 Jennifer River Apt. 180
Shafferberg, MN 77619-4214"
76175.494,4.524,9.525,4.28,30760.995,1456486.293,"82014 Stanton Gardens Suite 664
Lake Dawnborough, DC 86197-4191"
66574.71,5.55,6.844,2.17,69575.449,1702406.039,"551 Macdonald Viaduct
West Stephanie, TN 55360"
91731.154,5.185,7.944,6.3,33102.095,1566471.008,"860 Thompson Skyway Suite 901
Kimshire, AR 37353-5106"
75487.033,6.454,7.737,4.02,41105.391,1592210.176,"5036 Peterson Throughway
East Megan, GA 08456-4696"
58088.438,6.018,5.79,4.21,51925.412,937628.3467,"Unit 5584 Box 2763
DPO AE 40544"
76319.219,6.873,6.294,3.45,48026.308,1558547.578,"09437 Carolyn Mountain
Knappview, CA 70608-7504"
60575.162,5.908,6.965,2.29,32158.968,1156329.274,"5052 Chloe Lights Apt. 374
North Scott, IA 81431"
69607.134,7.078,7.833,3.35,34609.04,1514349.692,"8781 Robert Lakes Suite 880
East Wendy, ID 51813"
67056.84,5.222,7.164,5.25,25134.681,1039107.326,"3440 Cannon Lakes
Port Melaniehaven, WA 60324-0399"
60640.932,5.166,5.355,2.32,43119.541,809089.6719,"0956 Isabella Lodge
East Valeriefurt, CO 64441"
69031.909,5.78,5.502,3.23,15660.403,675536.3915,"36736 Kristi Radial
Port Carl, ID 35292-9269"
80356.209,4.66,9.71,5.02,16215.417,1373589.804,"10492 Reed Track
North Ericstad, IA 78774-8363"
60081.177,6.769,8.205,4.3,60195.746,1690091.019,"Unit 6269 Box 9041
DPO AE 13073"
61881.479,6.519,7.114,5.38,35597.373,1253370.149,"1486 Elizabeth Plains Apt. 235
New Cynthia, MD 73729-5878"
59590.965,6.892,5.736,2.03,24153.883,774073.5619,"239 Anna Locks Suite 853
Lisaland, GA 31515-2260"
89831.319,5.202,7.72,6.37,45335.36,1741959.834,"77610 Evan Field Apt. 712
West Shannonland, WI 30751"
72175.284,7.422,6.828,2.09,50305.795,1705762.788,"11385 Thomas Ford
New Karinaton, HI 01691-9923"
